Code,Link,Date Of Issue,Department,Title,Meant For,PDF Filename,S3 URL,Extraction Timestamp,Update Timestamp,Verification Timestamp
RBI/2022-2023/107 DOR.MRG.REC.64/00-00-005/2022-23,https://website.rbi.org.in/web/rbi/-/notifications/bilateral-netting-of-qualified-financial-contracts-amendments-to-prudential-guidelines-12376,"Aug 11, 2022",Department of Regulation,Bilateral Netting of Qualified Financial Contracts - Amendments to Prudential Guidelines,"All Commercial Banks, Co-operative Banks, Standalone Primary Dealers, Systemically Important Non-Deposit taking Non-Banking Financial Companies (NBFC-ND-SIs), Deposit taking Non-Banking Financial Companies (NBFC-Ds) and Housing Finance Companies (HFCs)",Bilateral_Netting_of_Qualified_Financial_Contracts_20250108035122.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Bilateral_Netting_of_Qualified_Financial_Contracts_20250108035122.pdf,2025-01-08T03:51:27.518817,,
RBI/2022-2023/106 DOR.REG.No.63/19.51.052/2022-23,https://website.rbi.org.in/web/rbi/-/notifications/section-23-of-the-banking-regulation-act-1949-as-applicable-to-co-operative-societies-opening-of-new-place-of-business-by-district-central-co-operative-banks-dccbs-12375,"Aug 11, 2022",Department of Regulation,"Section 23 of the Banking Regulation Act, 1949 (As Applicable to Co-operative Societies) - Opening of new place of business by District Central Co-operative Banks (DCCBs)",All District Central Co-operative Banks,Section_23_of_the_Banking_Regulation_Act_1949_As_A_20250108035127.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Section_23_of_the_Banking_Regulation_Act_1949_As_A_20250108035127.pdf,2025-01-08T03:51:32.641234,,
RBI/2022-2023/105 FMRD.DIRD.05/14.03.046/2022-23,https://website.rbi.org.in/web/rbi/-/notifications/rupee-interest-rate-derivatives-reserve-bank-directions-review-12374,"Aug 08, 2022",Financial Markets Regulation Department,Rupee Interest Rate Derivatives (Reserve Bank) Directions - Review,All Eligible Market Participants,Rupee_Interest_Rate_Derivatives_Reserve_Bank_Direc_20250108035132.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Rupee_Interest_Rate_Derivatives_Reserve_Bank_Direc_20250108035132.pdf,2025-01-08T03:51:37.837761,,
RBI/2022-2023/104 DOR.LIC.REC.60/16.13.218/2022-23,https://website.rbi.org.in/web/rbi/-/notifications/authorised-dealer-category-i-license-eligibility-for-small-finance-banks-12373,"Aug 08, 2022",Department of Regulation,Authorised Dealer Category-I License eligibility for Small Finance Banks,Managing Director and Chief Executive Officers of Small Finance Banks,Authorised_Dealer_Category_I_License_eligibility_f_20250108035137.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Authorised_Dealer_Category_I_License_eligibility_f_20250108035137.pdf,2025-01-08T03:51:42.730974,,
RBI/2022-2023/103 DOR.RET.REC.59/12.01.001/2022-23,https://website.rbi.org.in/web/rbi/-/notifications/change-in-bank-rate-12372,"Aug 05, 2022",Department of Regulation,Change in Bank Rate,All Banks,Change_in_Bank_Rate_20250108035142.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Change_in_Bank_Rate_20250108035142.pdf,2025-01-08T03:51:49.147904,,
Ref.CEPD.PRD.No.S544/13.01.001/2022-23,https://website.rbi.org.in/web/rbi/-/notifications/reserve-bank-integrated-ombudsman-scheme-2021-rbios-2021-12371,"Aug 05, 2022",Customer Service Department,"Reserve Bank - Integrated Ombudsman Scheme, 2021 (RBIOS, 2021)",,Reserve_Bank___Integrated_Ombudsman_Scheme_2021_RB_20250108035149.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Reserve_Bank___Integrated_Ombudsman_Scheme_2021_RB_20250108035149.pdf,2025-01-08T03:51:54.457981,,
RBI/2022-2023/102 REF.No.MPD.BC.394/07.01.279/2022-23,https://website.rbi.org.in/web/rbi/-/notifications/standing-liquidity-facility-for-primary-dealers-12370,"Aug 05, 2022",Monetary Policy Department,Standing Liquidity Facility for Primary Dealers,All Primary Dealers,Standing_Liquidity_Facility_for_Primary_Dealers_20250108035154.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Standing_Liquidity_Facility_for_Primary_Dealers_20250108035154.pdf,2025-01-08T03:51:59.520057,,
RBI/2022-2023/101 FMOD.MAOG.No.146/01.01.001/2022-23,https://website.rbi.org.in/web/rbi/-/notifications/liquidity-adjustment-facility-change-in-rates-12369,"Aug 05, 2022",Financial Markets Operation Department,Liquidity Adjustment Facility- Change in rates,All Liquidity Adjustment Facility (LAF) participants,Liquidity_Adjustment_Facility__Change_in_rates_20250108035159.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Liquidity_Adjustment_Facility__Change_in_rates_20250108035159.pdf,2025-01-08T03:52:04.256839,,
RBI/2022-2023/100 DoR.AUT.REC.58/23.67.001/2022-23,https://website.rbi.org.in/web/rbi/-/notifications/gold-monetization-scheme-gms-2015-12368,"Aug 04, 2022",Department of Regulation,"Gold Monetization Scheme (GMS), 2015",All Scheduled Commercial Banks (excluding Regional Rural Banks),Gold_Monetization_Scheme_GMS_2015_20250108035204.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Gold_Monetization_Scheme_GMS_2015_20250108035204.pdf,2025-01-08T03:52:09.410000,,
RBI/2022-2023/99 FIDD.GSSD.BC.No.11/09.10.001/2022-23,https://website.rbi.org.in/web/rbi/-/notifications/master-circular-on-credit-facilities-to-minority-communities-12367,"Aug 02, 2022",Financial Inclusion and Development Department,Master Circular on Credit Facilities to Minority Communities,The Chairman/Managing Director/Chief Executive Officer All Scheduled Commercial Banks (excluding RRBs and Foreign Banks with less than 20 branches),Master_Circular_on_Credit_Facilities_to_Minority_C_20250108035209.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Master_Circular_on_Credit_Facilities_to_Minority_C_20250108035209.pdf,2025-01-08T03:52:15.381521,,
RBI/2022-2023/98 A.P. (DIR Series) Circular No. 11,https://website.rbi.org.in/web/rbi/-/notifications/external-commercial-borrowings-ecb-policy-liberalisation-measures-12366,"Aug 01, 2022",Foreign Exchange Department,External Commercial Borrowings (ECB) Policy - Liberalisation Measures,All Category-I Authorised Dealer Banks,External_Commercial_Borrowings_ECB_Policy___Libera_20250108035217.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/External_Commercial_Borrowings_ECB_Policy___Libera_20250108035217.pdf,2025-01-08T03:52:22.798521,,
RBI/2022-2023/97 FIDD.CO.GSSD.BC.No.10/09.09.001/2022-23,https://website.rbi.org.in/web/rbi/-/notifications/master-circular-credit-facilities-to-scheduled-castes-scs-amp-scheduled-tribes-sts-12365,"Aug 01, 2022",Financial Inclusion and Development Department,Master Circular - Credit facilities to Scheduled Castes (SCs) & Scheduled Tribes (STs),The Chairman/ Managing Director / Chief Executive Officer All Scheduled Commercial Banks (including Small Finance Banks),Master_Circular___Credit_facilities_to_Scheduled_C_20250108035222.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Master_Circular___Credit_facilities_to_Scheduled_C_20250108035222.pdf,2025-01-08T03:52:27.773006,,
RBI/2022-2023/96 DOR.AML.REC.57/14.06.001/2022-23,https://website.rbi.org.in/web/rbi/-/notifications/united-nations-security-council-resolutions-unscr-1718-sanctions-committee-on-democratic-people-s-republic-of-korea-dprk-amends-44-existing-entries-on-its-sanctions-list-12364,"Jul 29, 2022",Department of Regulation,United Nations Security Council Resolutions (UNSCR) 1718 Sanctions Committee on Democratic People’s Republic of Korea (DPRK) amends 44 existing entries on its Sanctions List,The Chairpersons/ CEOs of all the Regulated Entities,United_Nations_Security_Council_Resolutions_UNSCR__20250108035227.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/United_Nations_Security_Council_Resolutions_UNSCR__20250108035227.pdf,2025-01-08T03:52:32.989523,,
RBI/2022-2023/95 CO.DPSS.POLC.No.S-760/02-14-003/2022-23,https://website.rbi.org.in/web/rbi/-/notifications/restriction-on-storage-of-actual-card-data-i.e.-card-on-file-cof-12363,"Jul 28, 2022",Department of Payment and Settlement System,Restriction on Storage of Actual Card Data [i.e. Card-on-File (CoF)],All Payment System Providers and Payment System Participants,Restriction_on_Storage_of_Actual_Card_Data_ie_Card_20250108035232.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Restriction_on_Storage_of_Actual_Card_Data_ie_Card_20250108035232.pdf,2025-01-08T03:52:38.326458,,
RBI/2022-2023/94 CO.DPSS.POLC.No.S-761/02-14-008/2022-23,https://website.rbi.org.in/web/rbi/-/notifications/regulation-of-payment-aggregators-timeline-for-submission-of-applications-for-authorisation-review-12362,"Jul 28, 2022",Department of Payment and Settlement Systems,Regulation of Payment Aggregators - Timeline for submission of applications for authorisation - Review,All Payment System Providers and Payment System Participants,Regulation_of_Payment_Aggregators___Timeline_for_s_20250108035238.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Regulation_of_Payment_Aggregators___Timeline_for_s_20250108035238.pdf,2025-01-08T03:52:43.693892,,
Notification No. FEMA.3(R)(3)/2022-RB,https://website.rbi.org.in/web/rbi/-/notifications/foreign-exchange-management-borrowing-and-lending-amendment-regulations-2022-12377,"Jul 28, 2022",Foreign Exchange Department,"Foreign Exchange Management (Borrowing and Lending) (Amendment) Regulations, 2022",,Foreign_Exchange_Management_Borrowing_and_Lending__20250108035243.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Foreign_Exchange_Management_Borrowing_and_Lending__20250108035243.pdf,2025-01-08T03:52:49.670444,,
RBI/2022-2023/93 DOR.CRE.REC.56/13.05.000/2022-23,https://website.rbi.org.in/web/rbi/-/notifications/board-approved-loan-policy-management-of-advances-ucbs-12361,"Jul 26, 2022",Department of Regulation,Board approved Loan Policy - Management of Advances - UCBs,All Primary (Urban) Co-operative Banks,Board_approved_Loan_Policy___Management_of_Advance_20250108035249.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Board_approved_Loan_Policy___Management_of_Advance_20250108035249.pdf,2025-01-08T03:52:55.219227,,
RBI/2022-2023/92 FIDD.GSSD.CO.BC.No.09/09.01.003/2022-23,https://website.rbi.org.in/web/rbi/-/notifications/master-circular-deendayal-antyodaya-yojana-national-rural-livelihoods-mission-day-nrlm-12360,"Jul 20, 2022",Financial Inclusion and Development Department,Master Circular - Deendayal Antyodaya Yojana - National Rural Livelihoods Mission (DAY-NRLM),"The Chairman/Managing Director & CEO Public Sector Banks, Private Sector Banks (including Small Finance Banks)",Master_Circular___Deendayal_Antyodaya_Yojana___Nat_20250108035255.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Master_Circular___Deendayal_Antyodaya_Yojana___Nat_20250108035255.pdf,2025-01-08T03:53:00.515156,,
RBI/2022-2023/91 DOR.AML.REC.55/14.06.001/2022-23,https://website.rbi.org.in/web/rbi/-/notifications/unscr-1718-sanctions-committee-on-dprk-amends-one-entry-on-its-sanctions-list-12359,"Jul 13, 2022",Department of Regulation,UNSCR 1718 Sanctions Committee on DPRK amends one Entry on its Sanctions List,The Chairpersons/CEOs of all the Regulated Entities,UNSCR_1718_Sanctions_Committee_on_DPRK_amends_one__20250108035300.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/UNSCR_1718_Sanctions_Committee_on_DPRK_amends_one__20250108035300.pdf,2025-01-08T03:53:05.611421,,
RBI/2022-2023/90 A.P. (DIR Series) Circular No.10,https://website.rbi.org.in/web/rbi/-/notifications/international-trade-settlement-in-indian-rupees-inr-12358,"Jul 11, 2022",Foreign Exchange Department,International Trade Settlement in Indian Rupees (INR),All Category-I Authorised Dealer Banks,International_Trade_Settlement_in_Indian_Rupees_IN_20250108035305.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/International_Trade_Settlement_in_Indian_Rupees_IN_20250108035305.pdf,2025-01-08T03:53:10.687048,,
RBI/2022-2023/89 A.P. (DIR Series) Circular No. 09,https://website.rbi.org.in/web/rbi/-/notifications/asian-clearing-union-acu-mechanism-indo-sri-lanka-trade-12357,"Jul 08, 2022",Foreign Exchange Department,Asian Clearing Union (ACU) Mechanism - Indo-Sri Lanka trade,All Category-I Authorised Dealer Banks,Asian_Clearing_Union_ACU_Mechanism___Indo_Sri_Lank_20250108035312.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Asian_Clearing_Union_ACU_Mechanism___Indo_Sri_Lank_20250108035312.pdf,2025-01-08T03:53:17.925281,,
RBI/2022-2023/86 FMRD.FMID.No.04/14.01.006/2022-23,https://website.rbi.org.in/web/rbi/-/notifications/-fully-accessible-route-for-investment-by-non-residents-in-government-securities-additional-specified-securities-12354,"Jul 07, 2022",Financial Markets Regulation Department,‘Fully Accessible Route’ for Investment by Non-residents in Government Securities - Additional specified securities,All participants in Government Securities market,Fully_Accessible_Route_for_Investment_by_Non_resid_20250108035317.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Fully_Accessible_Route_for_Investment_by_Non_resid_20250108035317.pdf,2025-01-08T03:53:24.336851,,
RBI/2022-2023/88 A. P. (DIR Series) Circular No. 08,https://website.rbi.org.in/web/rbi/-/notifications/overseas-foreign-currency-borrowings-of-authorised-dealer-category-i-banks-12356,"Jul 07, 2022",Financial Markets Regulation Department,Overseas foreign currency borrowings of Authorised Dealer Category-I banks,All Authorised Dealer Category-I Banks,Overseas_foreign_currency_borrowings_of_Authorised_20250108035324.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Overseas_foreign_currency_borrowings_of_Authorised_20250108035324.pdf,2025-01-08T03:53:29.351037,,
RBI/2022-2023/87 A.P. (DIR Series) Circular No.07,https://website.rbi.org.in/web/rbi/-/notifications/investment-by-foreign-portfolio-investors-fpi-in-debt-relaxations-12355,"Jul 07, 2022",Financial Markets Regulation Department,Investment by Foreign Portfolio Investors (FPI) in Debt - Relaxations,All Authorised Persons,Investment_by_Foreign_Portfolio_Investors_FPI_in_D_20250108035329.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Investment_by_Foreign_Portfolio_Investors_FPI_in_D_20250108035329.pdf,2025-01-08T03:53:34.473190,,
RBI/2022-2023/85 FIDD.CO.LBS.BC.No.8/02.08.001/2022-23,https://website.rbi.org.in/web/rbi/-/notifications/formation-of-new-districts-in-the-state-of-andhra-pradesh-assignment-of-lead-bank-responsibility-12353,"Jul 07, 2022",Financial Inclusion and Development Department,Formation of new districts in the State of Andhra Pradesh - Assignment of Lead Bank Responsibility,The Chairman / Managing Director & Chief Executive Officer Lead Banks Concerned,Formation_of_new_districts_in_the_State_of_Andhra__20250108035334.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Formation_of_new_districts_in_the_State_of_Andhra__20250108035334.pdf,2025-01-08T03:53:40.780685,,
RBI/2022-2023/84 A.P. (DIR Series) Circular No. 06,https://website.rbi.org.in/web/rbi/-/notifications/exim-bank-s-government-of-india-supported-short-term-line-of-credit-stloc-of-usd-55-million-to-the-government-of-the-democratic-socialist-republic-of-sri-lanka-for-procurement-of-urea-fertilizer-from-india-12352,"Jul 07, 2022",Foreign Exchange Department,Exim Bank's Government of India supported Short - Term Line of Credit (STLoC) of USD 55 million to the Government of the Democratic Socialist Republic of Sri Lanka for procurement of urea fertilizer from India,All Category - I Authorised Dealer Banks,Exim_Banks_Government_of_India_supported_Short___T_20250108035340.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Exim_Banks_Government_of_India_supported_Short___T_20250108035340.pdf,2025-01-08T03:53:46.587290,,
RBI/2022-2023/83 DOR.RET.REC.54/12.01.001/2022-23,https://website.rbi.org.in/web/rbi/-/notifications/section-42-of-the-reserve-bank-of-india-act-1934-and-section-18-and-24-of-the-banking-regulation-act-1949-fcnr-b-nre-term-deposits-exemption-from-maintenance-of-crr-slr-12351,"Jul 06, 2022",Department of Regulation,"Section 42 of the Reserve Bank of India Act, 1934 and Section 18 and 24 of the Banking Regulation Act, 1949 - FCNR (B)/NRE Term deposits - Exemption from maintenance of CRR/SLR","All Scheduled Commercial Banks (including Regional Rural Banks) Local Area Banks, Small Finance Banks, Payments Banks Primary (Urban) Co-operative Banks (UCBs) State and Central Co-operative Banks (StCBs / CCBs)",Section_42_of_the_Reserve_Bank_of_India_Act_1934_a_20250108035346.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Section_42_of_the_Reserve_Bank_of_India_Act_1934_a_20250108035346.pdf,2025-01-08T03:53:51.655119,,
RBI/2022-2023/82 DOR. SOG (SPE).REC.No 53/13.03.000/2022-23,https://website.rbi.org.in/web/rbi/-/notifications/master-direction-on-interest-rate-on-deposits-foreign-currency-non-resident-accounts-banks-scheme-fcnr-b-and-non-resident-external-rupee-nre-deposit-12350,"Jul 06, 2022",Department of Regulation,Master Direction on Interest Rate on Deposits - Foreign Currency (Non-resident) Accounts (Banks) Scheme [FCNR(B)] and Non-Resident (External) Rupee (NRE) Deposit,All Scheduled Commercial Banks (including Regional Rural Banks) All Small Finance Banks All Local Area Banks All Payment Banks All Primary (Urban) Co-operative Banks/ DCCBs /State Cooperative Banks,Master_Direction_on_Interest_Rate_on_Deposits___Fo_20250108035351.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Master_Direction_on_Interest_Rate_on_Deposits___Fo_20250108035351.pdf,2025-01-08T03:54:02.543783,,
RBI/2022-2023/81 DoR.RET.REC.52/12.07.160/2022-23,https://website.rbi.org.in/web/rbi/-/notifications/inclusion-of-unity-small-finance-bank-limited-in-the-second-schedule-of-the-reserve-bank-of-india-act-1934-12349,"Jul 06, 2022",Department of Regulation,"Inclusion of “Unity Small Finance Bank Limited” in the Second Schedule of the Reserve Bank of India Act, 1934",All Banks,Inclusion_of_Unity_Small_Finance_Bank_Limited_in_t_20250108035402.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Inclusion_of_Unity_Small_Finance_Bank_Limited_in_t_20250108035402.pdf,2025-01-08T03:54:07.741511,,
RBI/2022-2023/80 CO.DPSS.POLC.No.S-590/02-14-006/2022-23,https://website.rbi.org.in/web/rbi/-/notifications/requirement-for-obtaining-prior-approval-in-case-of-takeover-acquisition-of-control-of-non-bank-psos-and-sale-transfer-of-payment-system-activity-of-non-bank-pso-12348,"Jul 04, 2022",Department of Payment and Settlement Systems,Requirement for obtaining prior approval in case of takeover / acquisition of control of non-bank PSOs and sale / transfer of payment system activity of non-bank PSO,The Chairman / Managing Director / Chief Executive Officer Bank and Non-bank Payment System Operators (PSOs),Requirement_for_obtaining_prior_approval_in_case_o_20250108035407.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Requirement_for_obtaining_prior_approval_in_case_o_20250108035407.pdf,2025-01-08T03:54:12.776195,,
RBI/2022-2023/79 DCM(NPD)No.S488/18.00.14/2022-23,https://website.rbi.org.in/web/rbi/-/notifications/note-sorting-machines-authentication-and-fitness-sorting-parameters-12347,"Jul 01, 2022",Department of Currency Management,Note Sorting Machines - Authentication and Fitness Sorting Parameters,The Chairman/ Managing Director/ Chief Executive Officers All Banks,Note_Sorting_Machines___Authentication_and_Fitness_20250108035417.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Note_Sorting_Machines___Authentication_and_Fitness_20250108035417.pdf,2025-01-08T03:54:23.305279,,
RBI/2022-2023/78 DOR.STR.REC.51/21.04.048/2022-23,https://website.rbi.org.in/web/rbi/-/notifications/provisioning-requirement-for-investment-in-security-receipts-srs-12346,"Jun 28, 2022",Department of Regulation,Provisioning Requirement for Investment in Security Receipts (SRs),All Primary (Urban) Co-operative Banks/State Co-operative Banks/ District Central Co-operative Banks All Local Area Banks and Regional Rural Banks All All-India Financial Institutions All Non-Banking Financial Companies,Provisioning_Requirement_for_Investment_in_Securit_20250108035423.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Provisioning_Requirement_for_Investment_in_Securit_20250108035423.pdf,2025-01-08T03:54:31.999749,,
RBI/2022-2023/77 CO.DPSS.POLC.No.S-567/02-14-003/2022-23,https://website.rbi.org.in/web/rbi/-/notifications/restriction-on-storage-of-actual-card-data-i.e.-card-on-file-cof-12345,"Jun 24, 2022",Department of Payment and Settlement Systems,Restriction on Storage of Actual Card Data [i.e. Card-on-File (CoF)],All Payment System Providers and Payment System Participants,Restriction_on_Storage_of_Actual_Card_Data_ie_Card_20250108035432.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Restriction_on_Storage_of_Actual_Card_Data_ie_Card_20250108035432.pdf,2025-01-08T03:54:37.199075,,
RBI/2022-2023/76 DOR.CRE.REC.No.49/09.22.010/2022-23,https://website.rbi.org.in/web/rbi/-/notifications/master-circular-housing-finance-for-ucbs-12344,"Jun 23, 2022",Department of Regulation,Master Circular - Housing Finance for UCBs,All Primary (Urban) Co-operative Banks,Master_Circular___Housing_Finance_for_UCBs_20250108035437.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Master_Circular___Housing_Finance_for_UCBs_20250108035437.pdf,2025-01-08T03:54:42.543991,,
RBI/2022-2023/75 DOR.AML.REC.50/14.06.001/2022-23,https://website.rbi.org.in/web/rbi/-/notifications/designation-of-7-individuals-as-terrorists-under-section-35-1-a-of-the-unlawful-activities-prevention-act-uapa-1967-and-their-listing-in-the-schedule-iv-of-the-act-reg.-12343,"Jun 23, 2022",Department of Regulation,"Designation of 7 individuals as ‘Terrorists’ under Section 35 (1) (a) of the Unlawful Activities (Prevention) Act (UAPA), 1967 and their listing in the Schedule IV of the Act- Reg.",The Chairpersons/ CEOs of all the Regulated Entities,Designation_of_7_individuals_as_Terrorists_under_S_20250108035442.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Designation_of_7_individuals_as_Terrorists_under_S_20250108035442.pdf,2025-01-08T03:54:47.442957,,
RBI/2022-2023/74 DoR.AUT.REC.No.48/24.01.041/2022-23,https://website.rbi.org.in/web/rbi/-/notifications/extension-of-timeline-for-implementation-of-certain-provisions-of-master-direction-credit-card-and-debit-card-issuance-and-conduct-directions-2022-12342,"Jun 21, 2022",Department of Regulation,"Extension of timeline for implementation of certain provisions of Master Direction - Credit Card and Debit Card - Issuance and Conduct Directions, 2022",All Scheduled Banks (excluding Payments Banks/State Co-operative Banks and District Central Co-operative Banks) All Non-Banking Financial Companies (NBFCs),Extension_of_timeline_for_implementation_of_certai_20250108035447.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Extension_of_timeline_for_implementation_of_certai_20250108035447.pdf,2025-01-08T03:54:52.444995,,
RBI/2022-2023/73 CO.DPSS.POLC.No.S-518/02.14.003/2022-23,https://website.rbi.org.in/web/rbi/-/notifications/processing-of-e-mandates-for-recurring-transactions-12341,"Jun 16, 2022",Department of Payment and Settlement Systems,Processing of e-mandates for recurring transactions,"The Chairman / Managing Director / Chief Executive Officer All Scheduled Commercial Banks, including Regional Rural Banks / Urban Co-operative Banks / State Co-operative Banks / District Central Co-operative Banks / Payments Banks / Small Finance Banks / Local Area Banks / Non-bank Prepaid Payment Instrument Issuers / Authorised Card Payment Networks / National Payments Corporation of India",Processing_of_e_mandates_for_recurring_transaction_20250108035452.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Processing_of_e_mandates_for_recurring_transaction_20250108035452.pdf,2025-01-08T03:54:58.191170,,
RBI/2022-2023/72 IDMD.CDD. No.S789/14.04.050/2022-23,https://website.rbi.org.in/web/rbi/-/notifications/sovereign-gold-bond-sgb-scheme-2022-23-12340,"Jun 16, 2022",Internal Debt Management Department,Sovereign Gold Bond (SGB) Scheme 2022-23,"Scheduled Commercial Banks (as per the list attached), Designated Post Offices (as per the list attached) Stock Holding Corporation of India Ltd. National Stock Exchange of India Ltd, Bombay Stock Exchange Ltd. Clearing Corporation of India Ltd.",Sovereign_Gold_Bond_SGB_Scheme_2022_23_20250108035458.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Sovereign_Gold_Bond_SGB_Scheme_2022_23_20250108035458.pdf,2025-01-08T03:55:03.474279,,
RBI/2022-2023/71 DOR.CRE.REC.No.47/13.03.00/2022-23,https://website.rbi.org.in/web/rbi/-/notifications/bank-finance-to-government-owned-entities-12339,"Jun 14, 2022",Department of Regulation,Bank finance to Government owned entities,All Scheduled Commercial Banks (Excluding RRBs),Bank_finance_to_Government_owned_entities_20250108035503.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Bank_finance_to_Government_owned_entities_20250108035503.pdf,2025-01-08T03:55:09.231659,,
RBI/2022-2023/70 DOR.MRG.REC.46/00-00-011/2022-23,https://website.rbi.org.in/web/rbi/-/notifications/punjab-and-maharashtra-co-operative-bank-limited-amalgamation-with-unity-small-finance-bank-limited-scheme-2022-provisioning-on-interbank-exposure-and-valuation-of-perpetual-non-cumulative-preference-shares-pncps-and-equity-warran-12338,"Jun 10, 2022",Department of Regulation,"Punjab and Maharashtra Co-operative Bank Limited (Amalgamation with Unity Small Finance Bank Limited) Scheme, 2022 - Provisioning on interbank exposure and valuation of Perpetual Non-Cumulative Preference Shares (PNCPS) and Equity Warrants",All Primary (Urban) Co-operative Banks,Punjab_and_Maharashtra_Co_operative_Bank_Limited_A_20250108035509.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Punjab_and_Maharashtra_Co_operative_Bank_Limited_A_20250108035509.pdf,2025-01-08T03:55:14.649259,,
RBI/2022-2023/69 A.P. (DIR Series) Circular No. 05,https://website.rbi.org.in/web/rbi/-/notifications/discontinuation-of-return-under-foreign-exchange-management-act-1999-12337,"Jun 09, 2022",Foreign Exchange Department,"Discontinuation of Return under Foreign Exchange Management Act, 1999",AD Category I banks,Discontinuation_of_Return_under_Foreign_Exchange_M_20250108035517.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Discontinuation_of_Return_under_Foreign_Exchange_M_20250108035517.pdf,2025-01-08T03:55:22.529572,,
RBI/2022-2023/68 DOR.CRE.REC.42/09.22.010/2022-23,https://website.rbi.org.in/web/rbi/-/notifications/individual-housing-loans-enhancement-in-limits-12336,"Jun 08, 2022",Department of Regulation,Individual Housing loans - Enhancement in limits,All Primary (Urban) Co-operative Banks,Individual_Housing_loans___Enhancement_in_limits_20250108035522.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Individual_Housing_loans___Enhancement_in_limits_20250108035522.pdf,2025-01-08T03:55:28.376635,,
RBI/2022-2023/66 DOR.REG.No.45/19.51.052/2022-23,https://website.rbi.org.in/web/rbi/-/notifications/section-23-of-the-banking-regulation-act-1949-doorstep-banking-12334,"Jun 08, 2022",Department of Regulation,"Section 23 of the Banking Regulation Act, 1949 - Doorstep Banking",All Primary (Urban) Co-operative banks,Section_23_of_the_Banking_Regulation_Act_1949___Do_20250108035528.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Section_23_of_the_Banking_Regulation_Act_1949___Do_20250108035528.pdf,2025-01-08T03:55:33.460137,,
RBI/2022-2023/67 DOR.CRE.REC.43/09.22.010/2022-23,https://website.rbi.org.in/web/rbi/-/notifications/enhancement-in-individual-housing-loan-limits-and-credit-to-commercial-real-estate-residential-housing-cre-rh-12335,"Jun 08, 2022",Department of Regulation,Enhancement in Individual Housing Loan limits and credit to Commercial Real Estate - Residential Housing (CRE-RH),All State Co-operative Banks (StCBs) All District Central Co-operative Banks (DCCBs),Enhancement_in_Individual_Housing_Loan_limits_and__20250108035533.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Enhancement_in_Individual_Housing_Loan_limits_and__20250108035533.pdf,2025-01-08T03:55:38.490198,,
