Title,Date Of Issue,Link,Document Code,Departments,PDF Filename,S3 URL,Extraction Timestamp,Update Timestamp,Verification Timestamp
"Master Direction - Export of Goods and Services (
)","Jan 04, 2016",https://website.rbi.org.in/web/rbi/-/notifications/master-direction-export-of-goods-and-services-updated-as-on-november-22-2022-10395,RBI/FED/2015-16/11FED Master Direction No. 16/2015-16,,Master_Direction_-_Export_of_Goods_and_Services___,https://rbi-docs-storage.s3.amazonaws.com/MasterDirections/Master_Direction_-_Export_of_Goods_and_Services___,2025-01-08 19:20:00,2025-01-08 19:20:00,2025-01-08 19:20:00
"Master Direction - Money Changing Activities (
)","Jan 04, 2016",https://website.rbi.org.in/web/rbi/-/notifications/master-direction-money-changing-activities-updated-as-on-march-4-2022-11518,RBI/FED/2015-16/17FED Master Direction No.3/2015-16,,Master_Direction_-_Money_Changing_Activities_____2,https://rbi-docs-storage.s3.amazonaws.com/MasterDirections/Master_Direction_-_Money_Changing_Activities_____2,2025-01-08 19:20:18,2025-01-08 19:20:18,2025-01-08 19:20:18
Master Direction - Direct Investment by Residents in Joint Venture (JV) / Wholly Owned Subsidiary (WOS) Abroad,"Jan 01, 2016",https://website.rbi.org.in/web/rbi/-/notifications/master-direction-direct-investment-by-residents-in-joint-venture-jv-wholly-owned-subsidiary-wos-abroad-10199,RBI/FED/2015-16/10FED Master Direction No. 15/2015-16,,Master_Direction_-_Direct_Investment_by_Residents_,https://rbi-docs-storage.s3.amazonaws.com/MasterDirections/Master_Direction_-_Direct_Investment_by_Residents_,2025-01-08 19:20:38,2025-01-08 19:20:38,2025-01-08 19:20:38
"Prior Approval for acquisition of shares or voting rights in Private Sector Banks: Directions, 2015","Nov 19, 2015",https://website.rbi.org.in/web/rbi/-/notifications/prior-approval-for-acquisition-of-shares-or-voting-rights-in-private-sector-banks-directions-2015-10126,RBI/2015-16/240Master Direction No.DBR.PSBD.No.56/16.13.100/2015-16,,Prior_Approval_for_acquisition_of_shares_or_voting,https://rbi-docs-storage.s3.amazonaws.com/MasterDirections/Prior_Approval_for_acquisition_of_shares_or_voting,2025-01-08 19:20:53,2025-01-08 19:20:53,2025-01-08 19:20:53
"Gold Monetization Scheme, 2015 (Updated as on August 04, 2022)","Oct 22, 2015",https://website.rbi.org.in/web/rbi/-/notifications/gold-monetization-scheme-2015-updated-as-on-august-04-2022-10084,RBI/2015-16/211Master Direction No.DBR.IBD.No.45/23.67.003/2015-16,,Gold_Monetization_Scheme__2015__Updated_as_on_Augu,https://rbi-docs-storage.s3.amazonaws.com/MasterDirections/Gold_Monetization_Scheme__2015__Updated_as_on_Augu,2025-01-08 19:21:37,2025-01-08 19:21:37,2025-01-08 19:21:37
Master Direction on Minimum Capital Requirements for Operational Risk,"Jun 26, 2023",https://website.rbi.org.in/web/rbi/-/notifications/master-direction-on-minimum-capital-requirements-for-operational-risk-12520,RBI/DOR/2023-24/103DOR.ORG.REC.22/21.06.050/2023-24,,Master_Direction_on_Minimum_Capital_Requirements_f,https://rbi-docs-storage.s3.amazonaws.com/MasterDirections/Master_Direction_on_Minimum_Capital_Requirements_f,2025-01-08 19:22:17,2025-01-08 19:22:17,2025-01-08 19:22:17
Master Direction on Outsourcing of Information Technology Services,"Apr 10, 2023",https://website.rbi.org.in/web/rbi/-/notifications/master-direction-on-outsourcing-of-information-technology-services-12486,RBI/2023-24/102DoS.CO.CSITEG/SEC.1/31.01.015/2023-24,"The Chairman/Managing Director/Chief Executive OfficerScheduled Commercial Banks (excluding Regional Rural Banks);Local Area Banks; Small Finance Banks; Payments Banks;Primary (Urban) Co-operative Banks;Non-Banking Financial Companies;Credit Information Companies; andAll India Financial Institutions (EXIM Bank, NABARD, NaBFID, NHB and SIDBI)",Master_Direction_on_Outsourcing_of_Information_Tec,https://rbi-docs-storage.s3.amazonaws.com/MasterDirections/Master_Direction_on_Outsourcing_of_Information_Tec,2025-01-08 19:22:49,2025-01-08 19:22:49,2025-01-08 19:22:49
Master Direction on Framework of Incentives for Currency Distribution & Exchange Scheme for bank branches including currency chests based on performance in rendering customer service to the members of public,"Apr 03, 2023",https://website.rbi.org.in/web/rbi/-/notifications/master-direction-on-framework-of-incentives-for-currency-distribution-amp-exchange-scheme-for-bank-branches-including-currency-chests-based-on-performance-in-rendering-customer-service-to-the-members-of-public-12483,RBI/2023-24/99DCM (CC) No.G-5/03.41.01/2023-24,"The Chairman/Managing Director/Chief Executive Officers,All banks",Master_Direction_on_Framework_of_Incentives_for_Cu,https://rbi-docs-storage.s3.amazonaws.com/MasterDirections/Master_Direction_on_Framework_of_Incentives_for_Cu,2025-01-08 19:23:01,2025-01-08 19:23:01,2025-01-08 19:23:01
Master Direction - Scheme of Penalties for bank branches and Currency Chests for deficiency in rendering customer service to the members of public,"Apr 03, 2023",https://website.rbi.org.in/web/rbi/-/notifications/master-direction-scheme-of-penalties-for-bank-branches-and-currency-chests-for-deficiency-in-rendering-customer-service-to-the-members-of-public-12482,RBI/2023-24/100DCM (CC) No.G-3/03.44.01/2023-24,The Chairman/Managing Director/Chief Executive OfficersAll banks,Master_Direction_-_Scheme_of_Penalties_for_bank_br,https://rbi-docs-storage.s3.amazonaws.com/MasterDirections/Master_Direction_-_Scheme_of_Penalties_for_bank_br,2025-01-08 19:23:15,2025-01-08 19:23:15,2025-01-08 19:23:15
Master Direction on Penal Provisions in reporting of transactions/ balances at Currency Chests,"Apr 03, 2023",https://website.rbi.org.in/web/rbi/-/notifications/master-direction-on-penal-provisions-in-reporting-of-transactions-balances-at-currency-chests-12481,RBI/2023-24/101DCM (CC) No.G-4/03.35.01/2023-24,The Chairman/ Managing Director/Chief Executive Officer(All banks having Currency Chests),Master_Direction_on_Penal_Provisions_in_reporting_,https://rbi-docs-storage.s3.amazonaws.com/MasterDirections/Master_Direction_on_Penal_Provisions_in_reporting_,2025-01-08 19:23:34,2025-01-08 19:23:34,2025-01-08 19:23:34
"Master Direction on Counterfeit Notes, 2023 - Detection, Reporting and Monitoring","Apr 03, 2023",https://website.rbi.org.in/web/rbi/-/notifications/master-direction-on-counterfeit-notes-2023-detection-reporting-and-monitoring-12480,RBI/2023-24/98DCM (FNVD)/G-1/16.01.05/2023-24,The Chairman/ Managing Director /Chief Executive OfficerAll Banks,Master_Direction_on_Counterfeit_Notes__2023_-_Dete,https://rbi-docs-storage.s3.amazonaws.com/MasterDirections/Master_Direction_on_Counterfeit_Notes__2023_-_Dete,2025-01-08 19:23:53,2025-01-08 19:23:53,2025-01-08 19:23:53
"Master Direction - Facility for Exchange of Notes and Coins (
)","Apr 03, 2023",https://website.rbi.org.in/web/rbi/-/notifications/master-direction-facility-for-exchange-of-notes-and-coins-12479,RBI/2023-24/97DCM (NE) No.G-2/08.07.18/2023-24,The Chairman/The Managing Director/The Chief Executive OfficerAll Banks,Master_Direction_-_Facility_for_Exchange_of_Notes_,https://rbi-docs-storage.s3.amazonaws.com/MasterDirections/Master_Direction_-_Facility_for_Exchange_of_Notes_,2025-01-08 19:24:06,2025-01-08 19:24:06,2025-01-08 19:24:06
"Master Direction - Reserve Bank of India (Classification, Valuation and Operation of Investment Portfolio of Primary (Urban) Co-operative Banks) Directions, 2023","Apr 01, 2023",https://website.rbi.org.in/web/rbi/-/notifications/master-direction-reserve-bank-of-india-classification-valuation-and-operation-of-investment-portfolio-of-primary-urban-co-operative-banks-directions-2023-12473,RBI/2023-24/96DOR.MRG.REC.01/00-00-011/2023-24,,Master_Direction_-_Reserve_Bank_of_India__Classifi,https://rbi-docs-storage.s3.amazonaws.com/MasterDirections/Master_Direction_-_Reserve_Bank_of_India__Classifi,2025-01-08 19:24:24,2025-01-08 19:24:24,2025-01-08 19:24:24
"Master Direction - Reserve Bank of India (Acquisition and Holding of Shares or Voting Rights in Banking Companies) Directions, 2023","Jan 16, 2023",https://website.rbi.org.in/web/rbi/-/notifications/master-direction-reserve-bank-of-india-acquisition-and-holding-of-shares-or-voting-rights-in-banking-companies-directions-2023-12439,RBI/DOR/2022-23/95DOR.HOL.No.95/16.13.100/2022-23,,Master_Direction_-_Reserve_Bank_of_India__Acquisit,https://rbi-docs-storage.s3.amazonaws.com/MasterDirections/Master_Direction_-_Reserve_Bank_of_India__Acquisit,2025-01-08 19:24:43,2025-01-08 19:24:43,2025-01-08 19:24:43
"Master Direction - Foreign Exchange Management (Hedging of Commodity Price Risk and Freight Risk in Overseas Markets) Directions, 2022 (
)","Dec 12, 2022",https://website.rbi.org.in/web/rbi/-/notifications/master-direction-foreign-exchange-management-hedging-of-commodity-price-risk-and-freight-risk-in-overseas-markets-directions-2022-12427,RBI/2022-2023/94A. P. (DIR Series) Circular No. 20,,Master_Direction_-_Foreign_Exchange_Management__He,https://rbi-docs-storage.s3.amazonaws.com/MasterDirections/Master_Direction_-_Foreign_Exchange_Management__He,2025-01-08 19:25:02,2025-01-08 19:25:02,2025-01-08 19:25:02
"Master Direction - Reserve Bank of India (Variation Margin) Directions, 2022","Jun 01, 2022",https://website.rbi.org.in/web/rbi/-/notifications/master-direction-reserve-bank-of-india-variation-margin-directions-2022-12328,RBI/2022-23/93FMRD.DIRD.02/14.01.023/2022-23,,Master_Direction_-_Reserve_Bank_of_India__Variatio,https://rbi-docs-storage.s3.amazonaws.com/MasterDirections/Master_Direction_-_Reserve_Bank_of_India__Variatio,2025-01-08 19:25:37,2025-01-08 19:25:37,2025-01-08 19:25:37
"Master Direction - Credit Card and Debit Card - Issuance and Conduct Directions, 2022 (
)","Apr 21, 2022",https://website.rbi.org.in/web/rbi/-/notifications/master-direction-credit-card-and-debit-card-issuance-and-conduct-directions-2022-12300,RBI/2022-23/92DoR.AUT.REC.No.27/24.01.041/2022-23,,Master_Direction_-_Credit_Card_and_Debit_Card_-_Is,https://rbi-docs-storage.s3.amazonaws.com/MasterDirections/Master_Direction_-_Credit_Card_and_Debit_Card_-_Is,2025-01-08 19:25:57,2025-01-08 19:25:57,2025-01-08 19:25:57
Master Direction on Penal Provisions in deficiencies in reporting of transactions/ balances at Currency Chests,"Apr 01, 2022",https://website.rbi.org.in/web/rbi/-/notifications/master-direction-on-penal-provisions-in-deficiencies-in-reporting-of-transactions-balances-at-currency-chests-12270,RBI/2022-23/91DCM (CC) No.G-4/03.35.01/2022-23,The Chairman/ Managing Director/Chief Executive Officer(All banks having Currency Chests),Master_Direction_on_Penal_Provisions_in_deficienci,https://rbi-docs-storage.s3.amazonaws.com/MasterDirections/Master_Direction_on_Penal_Provisions_in_deficienci,2025-01-08 19:26:12,2025-01-08 19:26:12,2025-01-08 19:26:12
Master Direction on Framework of Incentives for Currency Distribution & Exchange Scheme for bank branches including currency chests based on performance in rendering customer service to the members of public,"Apr 01, 2022",https://website.rbi.org.in/web/rbi/-/notifications/master-direction-on-framework-of-incentives-for-currency-distribution-amp-exchange-scheme-for-bank-branches-including-currency-chests-based-on-performance-in-rendering-customer-service-to-the-members-of-public-12269,RBI/2022-23/90DCM (CC) No.G-3/03.41.01/2022-23,The Chairman/Managing Director/Chief Executive OfficersAll banks,Master_Direction_on_Framework_of_Incentives_for_Cu,https://rbi-docs-storage.s3.amazonaws.com/MasterDirections/Master_Direction_on_Framework_of_Incentives_for_Cu,2025-01-08 19:26:27,2025-01-08 19:26:27,2025-01-08 19:26:27
"Master Direction - Reserve Bank of India (Regulatory Framework for Microfinance Loans) Directions, 2022 (
)","Mar 14, 2022",https://website.rbi.org.in/web/rbi/-/notifications/master-direction-reserve-bank-of-india-regulatory-framework-for-microfinance-loans-directions-2022-updated-as-on-july-25-2022-12256,RBI/DOR/2021-22/89DoR.FIN.REC.95/03.10.038/2021-22,,Master_Direction_-_Reserve_Bank_of_India__Regulato,https://rbi-docs-storage.s3.amazonaws.com/MasterDirections/Master_Direction_-_Reserve_Bank_of_India__Regulato,2025-01-08 19:26:45,2025-01-08 19:26:45,2025-01-08 19:26:45
"Master Direction - Reserve Bank of India (Credit Derivatives) Directions, 2022 (
)","Feb 10, 2022",https://website.rbi.org.in/web/rbi/-/notifications/master-direction-reserve-bank-of-india-credit-derivatives-directions-2022-12226,RBI/2021-22/88FMRD.DIRD.10/14.03.004/2021-22,,Master_Direction_-_Reserve_Bank_of_India__Credit_D,https://rbi-docs-storage.s3.amazonaws.com/MasterDirections/Master_Direction_-_Reserve_Bank_of_India__Credit_D,2025-01-08 19:27:01,2025-01-08 19:27:01,2025-01-08 19:27:01
"Master Direction - Prudential Norms on Capital Adequacy for Local Area Banks (Directions), 2021 (
)","Oct 26, 2021",https://website.rbi.org.in/web/rbi/-/notifications/master-direction-prudential-norms-on-capital-adequacy-for-local-area-banks-directions-2021-updated-as-on-august-11-2022-lt-span-gt-12182,RBI/DOR/2021-22/DOR.CAP.REC.No.61 /21.01.002/2021-22,,Master_Direction_-_Prudential_Norms_on_Capital_Ade,https://rbi-docs-storage.s3.amazonaws.com/MasterDirections/Master_Direction_-_Prudential_Norms_on_Capital_Ade,2025-01-08 19:28:34,2025-01-08 19:28:34,2025-01-08 19:28:34
"Master Direction - Reserve Bank of India (Transfer of Loan Exposures) Directions, 2021 (Updated as on December 28, 2023)","Sep 24, 2021",https://website.rbi.org.in/web/rbi/-/notifications/master-direction-reserve-bank-of-india-transfer-of-loan-exposures-directions-2021-updated-as-on-december-05-2022-12166,RBI/DOR/2021-22/86DOR.STR.REC.51/21.04.048/2021-22,,Master_Direction_-_Reserve_Bank_of_India__Transfer,https://rbi-docs-storage.s3.amazonaws.com/MasterDirections/Master_Direction_-_Reserve_Bank_of_India__Transfer,2025-01-08 19:28:52,2025-01-08 19:28:52,2025-01-08 19:28:52
"Master Direction - Reserve Bank of India (Securitisation of Standard Assets) Directions, 2021 (Updated as on December 05, 2022)","Sep 24, 2021",https://website.rbi.org.in/web/rbi/-/notifications/master-direction-reserve-bank-of-india-securitisation-of-standard-assets-directions-2021-updated-as-on-december-05-2022-12165,RBI/DOR/2021-22/85DOR.STR.REC.53/21.04.177/2021-22,,Master_Direction_-_Reserve_Bank_of_India__Securiti,https://rbi-docs-storage.s3.amazonaws.com/MasterDirections/Master_Direction_-_Reserve_Bank_of_India__Securiti,2025-01-08 19:29:28,2025-01-08 19:29:28,2025-01-08 19:29:28
"Master Direction - Reserve Bank of India (Market-makers in OTC Derivatives) Directions, 2021","Sep 16, 2021",https://website.rbi.org.in/web/rbi/-/notifications/master-direction-reserve-bank-of-india-market-makers-in-otc-derivatives-directions-2021-12163,RBI/FMRD/2021-22/84FMRD.FMD.07/02.03.247/2021-22,,Master_Direction_-_Reserve_Bank_of_India__Market-m,https://rbi-docs-storage.s3.amazonaws.com/MasterDirections/Master_Direction_-_Reserve_Bank_of_India__Market-m,2025-01-08 19:29:43,2025-01-08 19:29:43,2025-01-08 19:29:43
