Title,Date Of Issue,Link,Code,PDF Link,PDF Filename,S3 URL,Extraction Timestamp,Update Timestamp,Verification Timestamp
Bilateral Netting of Qualified Financial Contracts - Amendments to Prudential Guidelines,"Aug 11, 2022",https://website.rbi.org.in/web/rbi/-/notifications/bilateral-netting-of-qualified-financial-contracts-amendments-to-prudential-guidelines-12376,"RBI/2022-23/107 DOR.MRG.REC.64/00-00-005/2022-23 August 11, 2022 Dear Sir / Madam, Bilateral Netting of Qualified Financial Contracts - Amendments to Prudential Guidelines Please refer to the circular DOR.CAP.51/21.06.201/2020-21 dated",https://website.rbi.org.in/documents/87730/39710850/NOT10715a45520c2b34d1dbcdb17b24c01829d.pdf,RBI_2022-23_107_DOR_MRG_REC_64_00-00-005_2022-23_August_11_2022_Dear_Sir_Madam_Bilateral_Netting_of__20250107224305.pdf,https://rbi-docs-storage.s3.amazonaws.com/NotificationsRBI_2022-23_107_DOR_MRG_REC_64_00-00-005_2022-23_August_11_2022_Dear_Sir_Madam_Bilateral_Netting_of__20250107224305.pdf,2025-01-07 22:43:05,2025-01-07 22:43:05,2025-01-07 22:43:05
"Section 23 of the Banking Regulation Act, 1949 (As Applicable to Co-operative Societies) - Opening of new place of business by District Central Co-operative Banks (DCCBs)","Aug 11, 2022",https://website.rbi.org.in/web/rbi/-/notifications/section-23-of-the-banking-regulation-act-1949-as-applicable-to-co-operative-societies-opening-of-new-place-of-business-by-district-central-co-operative-banks-dccbs-12375,RBI/2022-23/106 DOR.REG.No.63/19.51.052/2022-23,https://website.rbi.org.in/documents/87730/39710850/DCCBsEcf44d9f6dbe64d978a71f872d00a04dc.pdf,RBI_2022-23_106_DOR_REG_No_63_19_51_052_2022-23_20250107224320.pdf,https://rbi-docs-storage.s3.amazonaws.com/NotificationsRBI_2022-23_106_DOR_REG_No_63_19_51_052_2022-23_20250107224320.pdf,2025-01-07 22:43:20,2025-01-07 22:43:20,2025-01-07 22:43:20
Rupee Interest Rate Derivatives (Reserve Bank) Directions - Review,"Aug 08, 2022",https://website.rbi.org.in/web/rbi/-/notifications/rupee-interest-rate-derivatives-reserve-bank-directions-review-12374,RBI/2022-23/105FMRD.DIRD.05/14.03.046/2022-23,https://website.rbi.org.in/documents/87730/39710850/Circular080820226f906defca6541e2bed855694e3d6ae3.pdf,RBI_2022-23_105FMRD_DIRD_05_14_03_046_2022-23_20250107224329.pdf,https://rbi-docs-storage.s3.amazonaws.com/NotificationsRBI_2022-23_105FMRD_DIRD_05_14_03_046_2022-23_20250107224329.pdf,2025-01-07 22:43:29,2025-01-07 22:43:29,2025-01-07 22:43:29
Authorised Dealer Category-I License eligibility for Small Finance Banks,"Aug 08, 2022",https://website.rbi.org.in/web/rbi/-/notifications/authorised-dealer-category-i-license-eligibility-for-small-finance-banks-12373,RBI/2022-23/104 DOR.LIC.REC.60/16.13.218/2022-23,https://website.rbi.org.in/documents/87730/39710850/NT104dbf31521eb5243479defc7370b6d43d7.pdf,RBI_2022-23_104_DOR_LIC_REC_60_16_13_218_2022-23_20250107224334.pdf,https://rbi-docs-storage.s3.amazonaws.com/NotificationsRBI_2022-23_104_DOR_LIC_REC_60_16_13_218_2022-23_20250107224334.pdf,2025-01-07 22:43:34,2025-01-07 22:43:34,2025-01-07 22:43:34
Change in Bank Rate,"Aug 05, 2022",https://website.rbi.org.in/web/rbi/-/notifications/change-in-bank-rate-12372,"RBI/2022-23/103 DOR.RET.REC.59/12.01.001/2022-23 August 05, 2022 All Banks Madam/Sir, Change in Bank Rate Please refer to our circular DOR.RET.REC.44/12.01.001/2022-23 dated",https://website.rbi.org.in/documents/87730/39710850/NOT10355a06e6e060a49ef83192f9d485a8b48.pdf,RBI_2022-23_103_DOR_RET_REC_59_12_01_001_2022-23_August_05_2022_All_Banks_Madam_Sir_Change_in_Bank_R_20250107224340.pdf,https://rbi-docs-storage.s3.amazonaws.com/NotificationsRBI_2022-23_103_DOR_RET_REC_59_12_01_001_2022-23_August_05_2022_All_Banks_Madam_Sir_Change_in_Bank_R_20250107224340.pdf,2025-01-07 22:43:40,2025-01-07 22:43:40,2025-01-07 22:43:40
"Reserve Bank - Integrated Ombudsman Scheme, 2021 (RBIOS, 2021)","Aug 05, 2022",https://website.rbi.org.in/web/rbi/-/notifications/reserve-bank-integrated-ombudsman-scheme-2021-rbios-2021-12371,"EXECUTIVE DIRECTOR Reserve Bank of India Mumbai Reserve Bank - Integrated Ombudsman Scheme, 2021 (RBIOS, 2021) NOTIFICATION Ref.CEPD.PRD.No.S544/13.01.001/2022-23",https://website.rbi.org.in/documents/87730/39710850/CICsRBIOS202169cbd71e8b4945d9a067c58423677a69.pdf,EXECUTIVE_DIRECTOR_Reserve_Bank_of_India_Mumbai_Reserve_Bank_-_Integrated_Ombudsman_Scheme_2021_RBIO_20250107224346.pdf,https://rbi-docs-storage.s3.amazonaws.com/NotificationsEXECUTIVE_DIRECTOR_Reserve_Bank_of_India_Mumbai_Reserve_Bank_-_Integrated_Ombudsman_Scheme_2021_RBIO_20250107224346.pdf,2025-01-07 22:43:46,2025-01-07 22:43:46,2025-01-07 22:43:46
Standing Liquidity Facility for Primary Dealers,"Aug 05, 2022",https://website.rbi.org.in/web/rbi/-/notifications/standing-liquidity-facility-for-primary-dealers-12370,RBI/2022-23/102 REF.No.MPD.BC.394/07.01.279/2022-23,https://website.rbi.org.in/documents/87730/39710850/NOTI10292de4701b7b14603b05d38d93699d28b.pdf,RBI_2022-23_102_REF_No_MPD_BC_394_07_01_279_2022-23_20250107224356.pdf,https://rbi-docs-storage.s3.amazonaws.com/NotificationsRBI_2022-23_102_REF_No_MPD_BC_394_07_01_279_2022-23_20250107224356.pdf,2025-01-07 22:43:56,2025-01-07 22:43:56,2025-01-07 22:43:56
Liquidity Adjustment Facility- Change in rates,"Aug 05, 2022",https://website.rbi.org.in/web/rbi/-/notifications/liquidity-adjustment-facility-change-in-rates-12369,RBI/2022-23/101 FMOD.MAOG.No.146/01.01.001/2022-23,https://website.rbi.org.in/documents/87730/39710850/NT101151afbb1ec98440583ccf769e6aff536.pdf,RBI_2022-23_101_FMOD_MAOG_No_146_01_01_001_2022-23_20250107224405.pdf,https://rbi-docs-storage.s3.amazonaws.com/NotificationsRBI_2022-23_101_FMOD_MAOG_No_146_01_01_001_2022-23_20250107224405.pdf,2025-01-07 22:44:05,2025-01-07 22:44:05,2025-01-07 22:44:05
"Gold Monetization Scheme (GMS), 2015","Aug 04, 2022",https://website.rbi.org.in/web/rbi/-/notifications/gold-monetization-scheme-gms-2015-12368,RBI/2022-23/100 DoR.AUT.REC.58/23.67.001/2022-23,https://website.rbi.org.in/documents/87730/39710850/NOTI100b01e223ef9624451ba8e018b63c5ab4c.pdf,RBI_2022-23_100_DoR_AUT_REC_58_23_67_001_2022-23_20250107224408.pdf,https://rbi-docs-storage.s3.amazonaws.com/NotificationsRBI_2022-23_100_DoR_AUT_REC_58_23_67_001_2022-23_20250107224408.pdf,2025-01-07 22:44:08,2025-01-07 22:44:08,2025-01-07 22:44:08
External Commercial Borrowings (ECB) Policy - Liberalisation Measures,"Aug 01, 2022",https://website.rbi.org.in/web/rbi/-/notifications/external-commercial-borrowings-ecb-policy-liberalisation-measures-12366,"RBI/2022-23/98 A.P. (DIR Series) Circular No. 11 August 1, 2022 To All Category-I Authorised Dealer Banks Madam / Sir, External Commercial Borrowings (ECB) Policy – Liberalisation Measures Attention is invited to paragraph 2.2 of FED Master Direction No.5 on External Commercial Borrowings, Trade Credits and Structured Obligations, dated",https://website.rbi.org.in/documents/87730/39710850/NT987daccfc925434c3595e76402d3a38e25.pdf,RBI_2022-23_98_A_P_DIR_Series_Circular_No_11_August_1_2022_To_All_Category-I_Authorised_Dealer_Banks_20250107224414.pdf,https://rbi-docs-storage.s3.amazonaws.com/NotificationsRBI_2022-23_98_A_P_DIR_Series_Circular_No_11_August_1_2022_To_All_Category-I_Authorised_Dealer_Banks_20250107224414.pdf,2025-01-07 22:44:14,2025-01-07 22:44:14,2025-01-07 22:44:14
United Nations Security Council Resolutions (UNSCR) 1718 Sanctions Committee on Democratic People’s Republic of Korea (DPRK) amends 44 existing entries on its Sanctions List,"Jul 29, 2022",https://website.rbi.org.in/web/rbi/-/notifications/united-nations-security-council-resolutions-unscr-1718-sanctions-committee-on-democratic-people-s-republic-of-korea-dprk-amends-44-existing-entries-on-its-sanctions-list-12364,"RBI/2022-2023/96 DOR.AML.REC.57/14.06.001/2022-23 July 29, 2022 The Chairpersons/ CEOs of all the Regulated Entities Madam/Dear Sir, United Nations Security Council Resolutions (UNSCR) 1718 Sanctions Committee on Democratic People’s Republic of Korea (DPRK) amends 44 existing entries on its Sanctions List Please refer to our circular DoR.AML.REC.03/14.06.001/2021-22 dated",https://website.rbi.org.in/documents/87730/39710850/UNSCR171830a35632b3f242338b71443f8a9ee059.pdf,RBI_2022-2023_96_DOR_AML_REC_57_14_06_001_2022-23_July_29_2022_The_Chairpersons_CEOs_of_all_the_Regu_20250107224416.pdf,https://rbi-docs-storage.s3.amazonaws.com/NotificationsRBI_2022-2023_96_DOR_AML_REC_57_14_06_001_2022-23_July_29_2022_The_Chairpersons_CEOs_of_all_the_Regu_20250107224416.pdf,2025-01-07 22:44:16,2025-01-07 22:44:16,2025-01-07 22:44:16
Restriction on Storage of Actual Card Data [i.e. Card-on-File (CoF)],"Jul 28, 2022",https://website.rbi.org.in/web/rbi/-/notifications/restriction-on-storage-of-actual-card-data-i.e.-card-on-file-cof-12363,"RBI/2022-2023/95 CO.DPSS.POLC.No.S-760/02-14-003/2022-23 July 28, 2022 All Payment System Providers and Payment System Participants Madam / Dear Sir, Restriction on Storage of Actual Card Data [i.e. Card-on-File (CoF)] Reference is invited to Reserve Bank of India (RBI) circulars DPSS.CO.PD.No.1810/02.14.008/2019-20 dated",https://website.rbi.org.in/documents/87730/39710850/NOTI9562ebd27509944390a9a35d61e50ba9c6.pdf,RBI_2022-2023_95_CO_DPSS_POLC_No_S-760_02-14-003_2022-23_July_28_2022_All_Payment_System_Providers_a_20250107224428.pdf,https://rbi-docs-storage.s3.amazonaws.com/NotificationsRBI_2022-2023_95_CO_DPSS_POLC_No_S-760_02-14-003_2022-23_July_28_2022_All_Payment_System_Providers_a_20250107224428.pdf,2025-01-07 22:44:28,2025-01-07 22:44:28,2025-01-07 22:44:28
Regulation of Payment Aggregators - Timeline for submission of applications for authorisation - Review,"Jul 28, 2022",https://website.rbi.org.in/web/rbi/-/notifications/regulation-of-payment-aggregators-timeline-for-submission-of-applications-for-authorisation-review-12362,"RBI/2022-23/94 CO.DPSS.POLC.No.S-761/02-14-008/2022-23 July 28, 2022 All Payment System Providers and Payment System Participants Madam / Dear Sir, Regulation of Payment Aggregators – Timeline for submission of applications for authorisation – Review Reference is invited to Reserve Bank of India (RBI) circulars DPSS.CO.PD.No.1810/02.14.008/2019-20 dated",https://website.rbi.org.in/documents/87730/39710850/DPSSPAefc52ad41c31435a989102eaf6434107.pdf,RBI_2022-23_94_CO_DPSS_POLC_No_S-761_02-14-008_2022-23_July_28_2022_All_Payment_System_Providers_and_20250107224431.pdf,https://rbi-docs-storage.s3.amazonaws.com/NotificationsRBI_2022-23_94_CO_DPSS_POLC_No_S-761_02-14-008_2022-23_July_28_2022_All_Payment_System_Providers_and_20250107224431.pdf,2025-01-07 22:44:31,2025-01-07 22:44:31,2025-01-07 22:44:31
"Foreign Exchange Management (Borrowing and Lending) (Amendment) Regulations, 2022","Jul 28, 2022",https://website.rbi.org.in/web/rbi/-/notifications/foreign-exchange-management-borrowing-and-lending-amendment-regulations-2022-12377,"[TO BE PUBLISHED IN THE GAZETTE OF INDIA, EXTRAORDINARY, PART III, SECTION (4)] Reserve Bank of IndiaForeign Exchange DepartmentCentral OfficeMumbai Notification No. FEMA.3(R)(3)/2022-RB",https://website.rbi.org.in/documents/87730/39710850/FEMA12082022faf179750c5f402b91c9488a239a6e09.pdf,_TO_BE_PUBLISHED_IN_THE_GAZETTE_OF_INDIA_EXTRAORDINARY_PART_III_SECTION_4_Reserve_Bank_of_IndiaForei_20250107224435.pdf,https://rbi-docs-storage.s3.amazonaws.com/Notifications_TO_BE_PUBLISHED_IN_THE_GAZETTE_OF_INDIA_EXTRAORDINARY_PART_III_SECTION_4_Reserve_Bank_of_IndiaForei_20250107224435.pdf,2025-01-07 22:44:35,2025-01-07 22:44:35,2025-01-07 22:44:35
Board approved Loan Policy - Management of Advances - UCBs,"Jul 26, 2022",https://website.rbi.org.in/web/rbi/-/notifications/board-approved-loan-policy-management-of-advances-ucbs-12361,"RBI/2022-23/93 DOR.CRE.REC.56/13.05.000/2022-23 July 26, 2022 All Primary (Urban) Co-operative Banks Madam / Dear Sir, Board approved Loan Policy – Management of Advances - UCBs Please refer to para 1 of the Master Circular DOR.CRE.REC.No.17/13.05.000/2022-23 dated",https://website.rbi.org.in/documents/87730/39710850/NT9359f49af2f2bf4d97bc857b5281b2dddf.pdf,RBI_2022-23_93_DOR_CRE_REC_56_13_05_000_2022-23_July_26_2022_All_Primary_Urban_Co-operative_Banks_Ma_20250107224437.pdf,https://rbi-docs-storage.s3.amazonaws.com/NotificationsRBI_2022-23_93_DOR_CRE_REC_56_13_05_000_2022-23_July_26_2022_All_Primary_Urban_Co-operative_Banks_Ma_20250107224437.pdf,2025-01-07 22:44:37,2025-01-07 22:44:37,2025-01-07 22:44:37
UNSCR 1718 Sanctions Committee on DPRK amends one Entry on its Sanctions List,"Jul 13, 2022",https://website.rbi.org.in/web/rbi/-/notifications/unscr-1718-sanctions-committee-on-dprk-amends-one-entry-on-its-sanctions-list-12359,"RBI/2022-2023/91 DOR.AML.REC.55/14.06.001/2022-23 July 13, 2022 The Chairpersons/CEOs of all the Regulated Entities Madam/Dear Sir, UNSCR 1718 Sanctions Committee on DPRK amends one Entry on its Sanctions List Please refer to our circular DoR.AML.REC.03/14.06.001/2021-22 dated",https://website.rbi.org.in/documents/87730/39710850/NOTI9145873989d24c4e8cb878e11cf628d71e.pdf,RBI_2022-2023_91_DOR_AML_REC_55_14_06_001_2022-23_July_13_2022_The_Chairpersons_CEOs_of_all_the_Regu_20250107224443.pdf,https://rbi-docs-storage.s3.amazonaws.com/NotificationsRBI_2022-2023_91_DOR_AML_REC_55_14_06_001_2022-23_July_13_2022_The_Chairpersons_CEOs_of_all_the_Regu_20250107224443.pdf,2025-01-07 22:44:43,2025-01-07 22:44:43,2025-01-07 22:44:43
International Trade Settlement in Indian Rupees (INR),"Jul 11, 2022",https://website.rbi.org.in/web/rbi/-/notifications/international-trade-settlement-in-indian-rupees-inr-12358,RBI/2022-2023/90 A.P. (DIR Series) Circular No.10,https://website.rbi.org.in/documents/87730/39710850/APDCN1083ac50d954814429ac4d404a9a73ddd1.pdf,RBI_2022-2023_90_A_P_DIR_Series_Circular_No_10_20250107224448.pdf,https://rbi-docs-storage.s3.amazonaws.com/NotificationsRBI_2022-2023_90_A_P_DIR_Series_Circular_No_10_20250107224448.pdf,2025-01-07 22:44:48,2025-01-07 22:44:48,2025-01-07 22:44:48
Asian Clearing Union (ACU) Mechanism - Indo-Sri Lanka trade,"Jul 08, 2022",https://website.rbi.org.in/web/rbi/-/notifications/asian-clearing-union-acu-mechanism-indo-sri-lanka-trade-12357,RBI/2022-2023/89 A.P. (DIR Series) Circular No. 09,https://website.rbi.org.in/documents/87730/39710850/APDIRACUd7fa0a22c87f43b3937a2c9930034250.pdf,RBI_2022-2023_89_A_P_DIR_Series_Circular_No_09_20250107224450.pdf,https://rbi-docs-storage.s3.amazonaws.com/NotificationsRBI_2022-2023_89_A_P_DIR_Series_Circular_No_09_20250107224450.pdf,2025-01-07 22:44:50,2025-01-07 22:44:50,2025-01-07 22:44:50
‘Fully Accessible Route’ for Investment by Non-residents in Government Securities - Additional specified securities,"Jul 07, 2022",https://website.rbi.org.in/web/rbi/-/notifications/-fully-accessible-route-for-investment-by-non-residents-in-government-securities-additional-specified-securities-12354,RBI/2022-23/86 FMRD.FMID.No.04/14.01.006/2022-23,https://website.rbi.org.in/documents/87730/39710850/NT866336908dd3cf4d7fb6b38f87943af306.pdf,RBI_2022-23_86_FMRD_FMID_No_04_14_01_006_2022-23_20250107224452.pdf,https://rbi-docs-storage.s3.amazonaws.com/NotificationsRBI_2022-23_86_FMRD_FMID_No_04_14_01_006_2022-23_20250107224452.pdf,2025-01-07 22:44:52,2025-01-07 22:44:52,2025-01-07 22:44:52
Overseas foreign currency borrowings of Authorised Dealer Category-I banks,"Jul 07, 2022",https://website.rbi.org.in/web/rbi/-/notifications/overseas-foreign-currency-borrowings-of-authorised-dealer-category-i-banks-12356,RBI/2022-23/88 A. P. (DIR Series) Circular No. 08,https://website.rbi.org.in/documents/87730/39710850/OFCBb75fd64bf12945caa29738e6134bf92d.pdf,RBI_2022-23_88_A_P_DIR_Series_Circular_No_08_20250107224458.pdf,https://rbi-docs-storage.s3.amazonaws.com/NotificationsRBI_2022-23_88_A_P_DIR_Series_Circular_No_08_20250107224458.pdf,2025-01-07 22:44:58,2025-01-07 22:44:58,2025-01-07 22:44:58
Investment by Foreign Portfolio Investors (FPI) in Debt - Relaxations,"Jul 07, 2022",https://website.rbi.org.in/web/rbi/-/notifications/investment-by-foreign-portfolio-investors-fpi-in-debt-relaxations-12355,RBI/2022-23/87 A.P. (DIR Series) Circular No.07,https://website.rbi.org.in/documents/87730/39710850/NOTI87d02aace4db1249b7bb7049420ade648a.pdf,RBI_2022-23_87_A_P_DIR_Series_Circular_No_07_20250107224507.pdf,https://rbi-docs-storage.s3.amazonaws.com/NotificationsRBI_2022-23_87_A_P_DIR_Series_Circular_No_07_20250107224507.pdf,2025-01-07 22:45:07,2025-01-07 22:45:07,2025-01-07 22:45:07
Formation of new districts in the State of Andhra Pradesh - Assignment of Lead Bank Responsibility,"Jul 07, 2022",https://website.rbi.org.in/web/rbi/-/notifications/formation-of-new-districts-in-the-state-of-andhra-pradesh-assignment-of-lead-bank-responsibility-12353,"RBI/2022-23/85 FIDD.CO.LBS.BC.No.8/02.08.001/2022-23 July 07, 2022 The Chairman / Managing Director &amp; Chief Executive Officer Lead Banks Concerned Madam/ Dear Sir, Formation of new districts in the State of Andhra Pradesh – Assignment of Lead Bank Responsibility The Government of Andhra Pradesh has notified formation of 13 new districts in the State of Andhra Pradesh vide Gazette Notifications No.472-497 dated",https://website.rbi.org.in/documents/87730/39710850/Newdistrictsaae5bd36d6be45adb9b596410d6f7570.pdf,RBI_2022-23_85_FIDD_CO_LBS_BC_No_8_02_08_001_2022-23_July_07_2022_The_Chairman_Managing_Director_amp_20250107224518.pdf,https://rbi-docs-storage.s3.amazonaws.com/NotificationsRBI_2022-23_85_FIDD_CO_LBS_BC_No_8_02_08_001_2022-23_July_07_2022_The_Chairman_Managing_Director_amp_20250107224518.pdf,2025-01-07 22:45:18,2025-01-07 22:45:18,2025-01-07 22:45:18
Exim Bank's Government of India supported Short - Term Line of Credit (STLoC) of USD 55 million to the Government of the Democratic Socialist Republic of Sri Lanka for procurement of urea fertilizer from India,"Jul 07, 2022",https://website.rbi.org.in/web/rbi/-/notifications/exim-bank-s-government-of-india-supported-short-term-line-of-credit-stloc-of-usd-55-million-to-the-government-of-the-democratic-socialist-republic-of-sri-lanka-for-procurement-of-urea-fertilizer-from-india-12352,"RBI/2022-2023/84 A.P. (DIR Series) Circular No. 06 July 07, 2022 All Category – I Authorised Dealer Banks Madam/Sir Exim Bank's Government of India supported Short - Term Line of Credit (STLoC) of USD 55 million to the Government of the Democratic Socialist Republic of Sri Lanka for procurement of urea fertilizer from India Export-Import Bank of India (Exim Bank) has entered into an agreement dated",https://website.rbi.org.in/documents/87730/39710850/NT84294563e6403d4bd48420b6cf1e109bdc.pdf,RBI_2022-2023_84_A_P_DIR_Series_Circular_No_06_July_07_2022_All_Category_I_Authorised_Dealer_Banks_M_20250107224526.pdf,https://rbi-docs-storage.s3.amazonaws.com/NotificationsRBI_2022-2023_84_A_P_DIR_Series_Circular_No_06_July_07_2022_All_Category_I_Authorised_Dealer_Banks_M_20250107224526.pdf,2025-01-07 22:45:26,2025-01-07 22:45:26,2025-01-07 22:45:26
"Section 42 of the Reserve Bank of India Act, 1934 and Section 18 and 24 of the Banking Regulation Act, 1949 - FCNR (B)/NRE Term deposits - Exemption from maintenance of CRR/SLR","Jul 06, 2022",https://website.rbi.org.in/web/rbi/-/notifications/section-42-of-the-reserve-bank-of-india-act-1934-and-section-18-and-24-of-the-banking-regulation-act-1949-fcnr-b-nre-term-deposits-exemption-from-maintenance-of-crr-slr-12351,RBI/2022-23/83 DOR.RET.REC.54/12.01.001/2022-23,https://website.rbi.org.in/documents/87730/39710850/NOTI821cff2e131ab64e17bf3f50101ede56f0.pdf,RBI_2022-23_83_DOR_RET_REC_54_12_01_001_2022-23_20250107224534.pdf,https://rbi-docs-storage.s3.amazonaws.com/NotificationsRBI_2022-23_83_DOR_RET_REC_54_12_01_001_2022-23_20250107224534.pdf,2025-01-07 22:45:34,2025-01-07 22:45:34,2025-01-07 22:45:34
Master Direction on Interest Rate on Deposits - Foreign Currency (Non-resident) Accounts (Banks) Scheme [FCNR(B)] and Non-Resident (External) Rupee (NRE) Deposit,"Jul 06, 2022",https://website.rbi.org.in/web/rbi/-/notifications/master-direction-on-interest-rate-on-deposits-foreign-currency-non-resident-accounts-banks-scheme-fcnr-b-and-non-resident-external-rupee-nre-deposit-12350,RBI/2022-23/82 DOR.SOG (SPE).REC.No 53/13.03.000/2022-23,https://website.rbi.org.in/documents/87730/39710850/InterestRateFCNRBb4fd292e80614bcbbcc68738873447cb.pdf,RBI_2022-23_82_DOR_SOG_SPE_REC_No_53_13_03_000_2022-23_20250107224537.pdf,https://rbi-docs-storage.s3.amazonaws.com/NotificationsRBI_2022-23_82_DOR_SOG_SPE_REC_No_53_13_03_000_2022-23_20250107224537.pdf,2025-01-07 22:45:37,2025-01-07 22:45:37,2025-01-07 22:45:37
"Inclusion of “Unity Small Finance Bank Limited” in the Second Schedule of the Reserve Bank of India Act, 1934","Jul 06, 2022",https://website.rbi.org.in/web/rbi/-/notifications/inclusion-of-unity-small-finance-bank-limited-in-the-second-schedule-of-the-reserve-bank-of-india-act-1934-12349,"RBI/2022-23/81 DoR.RET.REC.52/12.07.160/2022-23 July 06, 2022 All Banks Madam/Sir Inclusion of “Unity Small Finance Bank Limited” in the Second Schedule of the Reserve Bank of India Act, 1934 It is advised that “Unity Small Finance Bank Limited” has been included in the Second Schedule to the Reserve Bank of India Act, 1934 vide Notification DoR.LIC.No.S543/16.13.216/2022-23 dated",https://website.rbi.org.in/documents/87730/39710850/UnitySmallFinance17418ffcd5764035abe5b58064128d24.pdf,RBI_2022-23_81_DoR_RET_REC_52_12_07_160_2022-23_July_06_2022_All_Banks_Madam_Sir_Inclusion_of_Unity__20250107224538.pdf,https://rbi-docs-storage.s3.amazonaws.com/NotificationsRBI_2022-23_81_DoR_RET_REC_52_12_07_160_2022-23_July_06_2022_All_Banks_Madam_Sir_Inclusion_of_Unity__20250107224538.pdf,2025-01-07 22:45:38,2025-01-07 22:45:38,2025-01-07 22:45:38
Requirement for obtaining prior approval in case of takeover / acquisition of control of non-bank PSOs and sale / transfer of payment system activity of non-bank PSO,"Jul 04, 2022",https://website.rbi.org.in/web/rbi/-/notifications/requirement-for-obtaining-prior-approval-in-case-of-takeover-acquisition-of-control-of-non-bank-psos-and-sale-transfer-of-payment-system-activity-of-non-bank-pso-12348,RBI/2022-23/80 CO.DPSS.POLC.No.S-590/02-14-006/2022-23,https://website.rbi.org.in/documents/87730/39710850/PriorRBId1c481fd486a4d559b61efd20dd0140f.pdf,RBI_2022-23_80_CO_DPSS_POLC_No_S-590_02-14-006_2022-23_20250107224540.pdf,https://rbi-docs-storage.s3.amazonaws.com/NotificationsRBI_2022-23_80_CO_DPSS_POLC_No_S-590_02-14-006_2022-23_20250107224540.pdf,2025-01-07 22:45:40,2025-01-07 22:45:40,2025-01-07 22:45:40
Note Sorting Machines - Authentication and Fitness Sorting Parameters,"Jul 01, 2022",https://website.rbi.org.in/web/rbi/-/notifications/note-sorting-machines-authentication-and-fitness-sorting-parameters-12347,"RBI/2022-23/79 DCM(NPD)No.S488/18.00.14/2022-23 July 1, 2022 The Chairman/ Managing Director/ Chief Executive Officers All Banks Dear Sir/Madam Note Sorting Machines - Authentication and Fitness Sorting Parameters Please refer to our circular DCM(R&amp;D)No.G-26/18.00.14/2009-10 dated",https://website.rbi.org.in/documents/87730/39710850/NoteSortingMachines4de97b0d2c0f48d8a347560e5fdf32e6.pdf,RBI_2022-23_79_DCM_NPD_No_S488_18_00_14_2022-23_July_1_2022_The_Chairman_Managing_Director_Chief_Exe_20250107224543.pdf,https://rbi-docs-storage.s3.amazonaws.com/NotificationsRBI_2022-23_79_DCM_NPD_No_S488_18_00_14_2022-23_July_1_2022_The_Chairman_Managing_Director_Chief_Exe_20250107224543.pdf,2025-01-07 22:45:43,2025-01-07 22:45:43,2025-01-07 22:45:43
Provisioning Requirement for Investment in Security Receipts (SRs),"Jun 28, 2022",https://website.rbi.org.in/web/rbi/-/notifications/provisioning-requirement-for-investment-in-security-receipts-srs-12346,RBI/2022-23/78DOR.STR.REC.51/21.04.048/2022-23,https://website.rbi.org.in/documents/87730/39710850/NT781113968810084a199d3c615c6fec159a.pdf,RBI_2022-23_78DOR_STR_REC_51_21_04_048_2022-23_20250107224545.pdf,https://rbi-docs-storage.s3.amazonaws.com/NotificationsRBI_2022-23_78DOR_STR_REC_51_21_04_048_2022-23_20250107224545.pdf,2025-01-07 22:45:45,2025-01-07 22:45:45,2025-01-07 22:45:45
Restriction on Storage of Actual Card Data [i.e. Card-on-File (CoF)],"Jun 24, 2022",https://website.rbi.org.in/web/rbi/-/notifications/restriction-on-storage-of-actual-card-data-i.e.-card-on-file-cof-12345,"RBI/2022-23/77CO.DPSS.POLC.No.S-567/02-14-003/2022-23 June 24, 2022 All Payment System Providers and Payment System Participants Madam / Dear Sir, Restriction on Storage of Actual Card Data [i.e. Card-on-File (CoF)] Reference is invited to Reserve Bank of India (RBI) circulars DPSS.CO.PD.No.1810/02.14.008/ 2019-20 dated",https://website.rbi.org.in/documents/87730/39710850/DPSSC09b09841ef3746a0a7dc4783ac90c8f3.pdf,RBI_2022-23_77CO_DPSS_POLC_No_S-567_02-14-003_2022-23_June_24_2022_All_Payment_System_Providers_and__20250107224547.pdf,https://rbi-docs-storage.s3.amazonaws.com/NotificationsRBI_2022-23_77CO_DPSS_POLC_No_S-567_02-14-003_2022-23_June_24_2022_All_Payment_System_Providers_and__20250107224547.pdf,2025-01-07 22:45:47,2025-01-07 22:45:47,2025-01-07 22:45:47
